  100.00 1 0      0.000          0.000          0.000          0.000    
  200.00 1 0      0.000          0.000          0.000          0.000    
  300.00 1 0      0.000          0.000          0.000          0.000    
  400.00 1 0      0.000          0.000          0.000          0.000    
  500.00 1 0      0.000          0.000          0.000          0.000    
  600.00 1 0      0.000          0.000          0.000          0.000    
  700.00 1 0      0.000          0.000          0.000          0.000    
  800.00 1 0      0.000          0.000          0.000          0.000    
  900.00 1 0      0.000          0.000          0.000          0.000    
 1000.00 1 0      0.000          0.000          0.000          0.000    
 1100.00 1 0      0.000          0.000          0.000          0.000    
 1200.00 1 0      0.000          0.000          0.000          0.000    
 1300.00 1 0      0.000          0.000          0.000          0.000    
 1400.00 1 0      0.000          0.000          0.000          0.000    
 1500.00 1 0      0.000          0.000          0.000          0.000    
 1600.00 1 0      0.000          0.000          0.000          0.000    
 1700.00 1 0      0.000          0.000          0.000          0.000    
 1800.00 1 0      0.000          0.000          0.000          0.000    
 1900.00 1 0      0.000          0.000          0.000          0.000    
 2000.00 1 0      0.000          0.000          0.000          0.000    
 2100.00 1 0      0.000          0.000          0.000          0.000    
 2200.00 1 0      0.000          0.000          0.000          0.000    
 2300.00 1 0      0.000          0.000          0.000          0.000    
 2400.00 1 0      0.000          0.000          0.000          0.000    
 2500.00 1 0      0.000          0.000          0.000          0.000    
